ano,mês,dia,subpref_sigla,subpref,lat,long,via,referencia,sentido,fonte,precipitacao
2021,2,11,SA,SANTO AMARO,-23.660391,-46.704821,R. JOAO ALFREDO,PC. DOM. FRANCISCO DE SOUSA,BAIRRO/CENTRO,CET,14.7
2021,2,12,IP,IPIRANGA,-23.631714,-46.584364,ES. DAS. LAGRIMAS,R. OLGA CAMELINI,AMBOS,CET,21.6
2021,2,13,SA,SANTO AMARO,-23.626064,-46.687551,AV. STO. AMARO,AV. ROQUE PETRONI JUNIOR,AMBOS,CET,21.7
2021,2,13,PJ,PIRITUBA/JARAGUA,-23.435233,-46.720102,AV. RAIMUNDO PEREIRA DE MAGALHAES,ALTURA DO NÚMERO 12285,BAIRRO/CENTRO,CET,16.0
2021,2,13,PJ,PIRITUBA/JARAGUA,-23.426886,-46.724778,AV. RAIMUNDO PEREIRA DE MAGALHAES,R. MARIA DA CRUZ CUNHA,CENTRO/BAIRRO,CET,16.0
2021,2,13,PJ,PIRITUBA/JARAGUA,-23.473102,-46.726824,AV. RAIMUNDO PEREIRA DE MAGALHAES,ALTURA DO NÚMERO 7030,BAIRRO/CENTRO,CET,16.0
2021,2,13,SE,SE,-23.543441,-46.627025,AV. MERCURIO,PC. S. VITO,UNICO,CET,17.3
2021,2,14,SA,SANTO AMARO,-23.660391,-46.704821,R. JOAO ALFREDO,PC. DOM. FRANCISCO DE SOUSA,BAIRRO/CENTRO,CET,0.0
2021,2,17,MG,VILA MARIA-VILA GUILHERME,-23.508737,-46.600162,R. CHICO PONTES (VILA GUILHERME),AV GUILHERME,UNICO,CET,36.7
2021,2,17,MB,MBOI MIRIM,-23.644704,-46.729776,AV. MARIA COELHO AGUIAR (JARDIM SAO LUIS),PC ALCEU AMOROSO LIMA,CENTRO/BAIRRO,CET,29.7
2021,2,17,CL,CAMPO LIMPO,-23.629398,-46.769519,ES. DO CAMPO LIMPO (CAMPO LIMPO),R IVAR BECKMAN,BAIRRO/CENTRO,CET,41.6
2021,2,17,CL,CAMPO LIMPO,-23.615736,-46.742537,R. DR LUIZ MIGLIANO (VILA ANDRADE),R MAL HASTINFILO DE MOURA,AMBOS,CET,41.6
2021,2,17,SA,SANTO AMARO,-23.62602,-46.687037,AV. STO AMARO (CAMPO BELO),AV PROF VICENTE RAO,BAIRRO/CENTRO,CET,49.4
2021,2,17,BT,BUTANTA,-23.571106,-46.709199,AV. VITAL BRASIL,R. CAMARGO,BAIRRO/CENTRO ,CET,33.2
2021,2,17,SE,SE,-23.543681,-46.635523,TN. PAPA JOAO PAULO II (REPUBLICA),ALTURA DO NÚMERO 1: ACESSO AV 23 DE MAIO,SANTANA/AEROPORTO - ÚNICA,CET,35.0
2021,2,17,VM,VILA MARIANA,-23.586848,-46.653085,AV. VINTE E TRES DE MAIO (LIBERDADE),VD GAL EUCLIDES DE FIGUEIREDO,AMBOS - ÚNICA,CET,53.9
